gene name_V4,NU0,NU4,NU8,NU12,NU16,NU20,NU24,NU28,NU32,NU36,NU40,NU44,NU48,NU52,NU56,NU60,NU64,NU68,NU72,NU78,NU84,NU90,NU96,NU102,NU108,NU114,NU120,NU126,NU132,NU138,NU144,em10,em12,em14,em16,em18,em20,em22,em24,em26,em28,em30,em32,em34,em36,em38,en6,en8,en10,en12,en14,en16,en18,en20,en22,en24,en26,en28,en30,en32,en34,en36,en38,s0,s2,s3,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,s28,s30,s32,s34,s36,s38,Anthers,Cob1,Cob2,Ear1,Ear2,Leaf1,Leaf2,Leaf3,Leaf4,Leaf5,Leaf6,Leaf7,Pollen,Roots,SAM1,SAM2,Shoots,Silk,Tassel1,Tassel2,Tassel3,Tassel4,Tassel5
Zm00001d026182,0.87 ,0.48 ,0.29 ,1.16 ,0.16 ,0.44 ,0.44 ,0.17 ,0.44 ,0.46 ,0.14 ,0.21 ,1.13 ,0.88 ,0.72 ,0.41 ,0.99 ,0.00 ,0.63 ,0.18 ,0.85 ,0.29 ,0.32 ,0.26 ,0.23 ,0.06 ,0.34 ,0.94 ,0.06 ,0.31 ,0.08 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.65 ,0.99 ,1.02 ,1.86 ,1.10 ,2.12 ,0.40 ,0.15 ,1.02 ,0.86 ,0.26 ,0.83 ,1.77 ,0.15 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.66 ,3.70 ,0.26 ,0.67 ,4.70 ,2.21 ,0.66 ,0.51 ,0.55 ,0.55 ,0.34 ,0.00 ,0.00 ,1.13 ,0.80 ,1.44 ,6.39 ,1.04 ,1.36 ,1.01 ,0.47 ,0.17 
Zm00001d019757,8.14 ,8.47 ,10.56 ,15.74 ,9.59 ,7.08 ,13.26 ,9.92 ,6.97 ,8.64 ,10.56 ,6.88 ,7.65 ,6.78 ,8.88 ,9.72 ,7.95 ,7.09 ,7.66 ,7.41 ,7.94 ,6.91 ,6.45 ,7.93 ,7.88 ,5.80 ,5.45 ,8.52 ,5.86 ,6.22 ,4.33 ,2.65 ,5.38 ,1.22 ,5.40 ,2.48 ,1.58 ,7.92 ,5.94 ,13.30 ,14.91 ,5.25 ,13.16 ,23.16 ,15.98 ,22.11 ,5.68 ,3.05 ,9.46 ,3.87 ,6.50 ,2.10 ,6.94 ,3.55 ,4.73 ,2.85 ,2.83 ,1.92 ,3.45 ,4.32 ,6.77 ,7.24 ,13.11 ,10.70 ,8.91 ,7.54 ,12.86 ,9.28 ,12.70 ,5.79 ,6.47 ,5.69 ,6.79 ,4.24 ,5.74 ,6.53 ,5.37 ,4.60 ,2.75 ,9.75 ,9.70 ,11.64 ,6.02 ,13.34 ,7.33 ,6.34 ,7.34 ,4.45 ,5.15 ,6.52 ,4.07 ,2.74 ,1.26 ,1.27 ,3.88 ,3.51 ,4.01 ,3.36 ,4.53 ,2.88 ,2.95 ,4.92 ,6.75 ,7.95 ,6.59 ,16.33 ,11.80 
Zm00001d018198,1.10 ,1.65 ,2.11 ,3.41 ,1.47 ,2.02 ,2.30 ,1.93 ,1.94 ,1.64 ,2.28 ,1.15 ,1.69 ,2.48 ,1.21 ,1.79 ,1.83 ,1.59 ,1.90 ,2.12 ,1.60 ,1.59 ,1.16 ,1.67 ,1.45 ,1.32 ,1.27 ,1.39 ,1.70 ,1.21 ,1.21 ,0.65 ,0.44 ,0.00 ,0.58 ,0.00 ,0.58 ,0.43 ,0.50 ,0.59 ,0.09 ,0.26 ,1.00 ,0.65 ,0.49 ,1.09 ,0.35 ,0.36 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,0.00 ,0.36 ,0.68 ,1.75 ,0.68 ,0.30 ,0.39 ,0.31 ,0.61 ,0.38 ,0.60 ,0.12 ,0.09 ,0.10 ,0.06 ,0.12 ,0.16 ,0.00 ,0.26 ,0.15 ,0.00 ,0.50 ,0.88 ,0.72 ,0.58 ,1.14 ,0.36 ,5.11 ,3.99 ,3.06 ,2.22 ,3.46 ,1.02 ,2.03 ,1.52 ,3.49 ,1.93 ,2.46 ,0.14 ,0.85 ,3.00 ,2.60 ,1.16 ,2.36 ,2.59 ,2.33 ,2.91 ,1.60 ,0.82 
Zm00001d020492,0.67 ,0.18 ,0.44 ,27.16 ,40.43 ,74.31 ,80.81 ,23.51 ,18.11 ,11.49 ,17.00 ,7.04 ,7.19 ,7.38 ,5.41 ,3.89 ,2.48 ,1.69 ,2.77 ,2.63 ,1.91 ,2.44 ,2.50 ,2.43 ,0.65 ,1.00 ,1.45 ,1.42 ,0.90 ,1.11 ,1.83 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.81 ,0.08 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 ,1.71 ,0.89 ,0.86 ,1.28 ,1.42 ,4.74 ,4.91 ,4.01 ,4.04 ,2.44 ,1.82 ,0.07 ,0.52 ,0.05 ,0.07 ,0.06 ,0.00 ,0.55 ,7.99 ,3.03 ,0.48 ,1.07 ,3.43 ,0.98 ,1.28 ,0.48 ,1.72 ,1.23 ,1.21 ,1.36 ,0.86 ,0.67 ,0.22 ,0.37 ,0.22 ,0.57 ,0.07 ,0.70 ,0.11 ,0.79 ,2.50 ,0.30 ,0.52 ,0.00 ,0.66 ,3.02 ,1.48 ,78.60 ,0.58 ,0.83 ,0.00 ,5.95 ,0.27 ,0.16 ,39.82 ,0.00 ,8.47 ,8.13 ,9.32 ,1.51 ,1.79 
Zm00001d020495,0.00 ,0.00 ,0.04 ,1.01 ,1.99 ,6.18 ,10.58 ,3.84 ,5.46 ,2.69 ,4.83 ,2.04 ,1.71 ,2.02 ,0.57 ,0.64 ,0.49 ,0.30 ,0.32 ,0.82 ,0.24 ,0.30 ,0.21 ,0.31 ,0.06 ,0.03 ,0.28 ,0.10 ,0.03 ,0.25 ,0.25 ,0.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.16 ,0.08 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.43 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.34 ,0.09 ,19.24 ,0.11 ,0.00 ,0.00 ,0.95 ,0.00 ,0.00 ,10.47 ,0.00 ,0.06 ,0.11 ,0.00 ,0.00 ,0.00 
Zm00001d022437,0.01 ,0.00 ,0.06 ,0.72 ,2.17 ,13.26 ,9.46 ,0.86 ,1.64 ,0.18 ,0.61 ,0.28 ,0.17 ,0.22 ,0.07 ,0.11 ,0.15 ,0.07 ,0.31 ,0.06 ,0.00 ,0.11 ,0.00 ,0.06 ,0.02 ,0.00 ,0.03 ,0.00 ,0.00 ,0.04 ,0.00 ,0.06 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.19 ,0.00 ,0.06 ,0.31 ,0.00 ,1.73 ,0.63 ,0.36 ,0.45 ,0.22 ,0.12 ,0.00 ,0.07 ,0.03 ,0.05 ,0.07 ,0.23 ,0.27 ,0.35 ,0.23 ,0.64 ,0.50 ,0.22 ,0.36 ,1.95 ,0.04 ,0.05 ,0.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.24 ,0.36 ,5.30 ,0.00 ,0.00 ,0.00 ,6.93 ,0.00 ,0.00 ,12.73 ,0.00 ,0.07 ,0.03 ,0.13 ,1.11 ,0.68 
Zm00001d010617,0.00 ,0.00 ,0.00 ,1.50 ,1.51 ,2.10 ,5.17 ,0.55 ,0.18 ,0.14 ,0.34 ,0.12 ,0.17 ,2.09 ,0.04 ,0.05 ,0.16 ,0.02 ,0.18 ,0.29 ,0.15 ,0.24 ,0.03 ,0.10 ,0.10 ,0.04 ,0.08 ,0.10 ,0.21 ,0.16 ,0.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.17 ,0.07 ,0.09 ,0.07 ,1.55 ,0.08 ,0.12 ,0.00 ,0.03 ,0.25 ,0.00 ,0.03 ,0.13 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.25 ,0.13 ,0.00 ,5.36 ,0.62 ,0.36 ,0.13 ,0.29 ,0.24 ,0.38 ,0.22 ,0.54 ,0.27 ,0.35 ,0.00 ,0.06 ,0.10 ,0.22 ,0.66 ,0.24 ,0.10 ,0.00 ,0.51 ,0.00 ,0.00 ,0.13 ,0.00 ,0.00 ,0.22 ,0.49 ,0.16 ,0.00 ,1.67 ,0.13 ,0.09 ,0.00 ,34.66 ,0.00 ,0.00 ,4.19 ,0.21 ,0.27 ,0.44 ,0.18 ,0.44 ,0.27 
Zm00001d032265,1.03 ,1.05 ,0.34 ,1.33 ,1.83 ,1.38 ,2.97 ,1.25 ,2.24 ,1.06 ,1.22 ,0.78 ,0.81 ,1.03 ,0.64 ,0.83 ,1.70 ,0.99 ,0.84 ,0.44 ,0.56 ,0.37 ,0.60 ,0.50 ,0.45 ,0.66 ,0.65 ,0.44 ,0.92 ,0.97 ,0.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.17 ,0.00 ,0.00 ,0.30 ,0.00 ,0.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.11 ,0.00 ,0.16 ,0.00 ,0.11 ,0.09 ,0.78 ,0.09 ,0.27 ,0.83 ,0.75 ,0.53 ,0.21 ,0.00 ,0.04 ,0.05 ,0.07 ,0.00 ,0.00 ,0.04 ,0.13 ,0.10 ,0.86 ,0.08 ,0.00 ,0.00 ,0.11 ,0.00 ,0.09 ,1.21 ,0.13 ,0.17 ,0.29 ,0.63 ,1.83 ,2.56 ,2.94 ,0.06 ,0.52 ,0.00 ,8.36 ,0.06 ,0.07 ,2.16 ,0.00 ,0.53 ,0.58 ,0.29 ,0.49 ,1.06 
Zm00001d020137,6.11 ,2.71 ,0.84 ,10.21 ,7.76 ,17.33 ,28.63 ,2.31 ,3.76 ,4.49 ,0.91 ,1.75 ,4.19 ,1.21 ,1.71 ,4.41 ,10.25 ,3.02 ,3.64 ,3.24 ,2.22 ,1.18 ,0.82 ,1.08 ,0.92 ,1.62 ,3.32 ,3.13 ,1.28 ,2.46 ,4.31 ,0.21 ,0.53 ,0.12 ,0.10 ,0.15 ,0.09 ,0.81 ,0.32 ,0.36 ,0.55 ,0.08 ,0.16 ,0.06 ,0.58 ,0.44 ,1.53 ,0.85 ,0.00 ,0.24 ,0.07 ,0.07 ,0.06 ,0.00 ,0.00 ,0.06 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.18 ,0.14 ,6.61 ,16.12 ,17.85 ,10.06 ,7.35 ,7.86 ,1.58 ,1.82 ,0.85 ,0.81 ,0.66 ,0.56 ,1.23 ,0.82 ,1.21 ,0.86 ,2.64 ,2.12 ,0.97 ,0.48 ,1.41 ,0.42 ,3.55 ,7.17 ,1.68 ,1.62 ,3.77 ,12.47 ,26.56 ,67.52 ,11.15 ,2.99 ,4.78 ,0.00 ,67.29 ,1.50 ,1.24 ,29.16 ,0.35 ,12.88 ,16.82 ,17.87 ,4.66 ,7.82 
Zm00001d003331,3.03 ,2.05 ,1.76 ,3.09 ,3.17 ,4.34 ,4.94 ,3.69 ,7.47 ,5.91 ,5.73 ,4.07 ,5.21 ,3.89 ,2.52 ,3.93 ,2.71 ,2.34 ,3.17 ,1.39 ,0.94 ,1.32 ,1.24 ,0.65 ,1.10 ,2.19 ,2.10 ,2.05 ,4.91 ,4.11 ,4.83 ,2.73 ,2.35 ,1.82 ,1.41 ,0.65 ,0.55 ,0.38 ,0.06 ,0.08 ,0.13 ,0.03 ,0.00 ,0.00 ,0.00 ,0.00 ,3.99 ,2.24 ,0.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.07 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.59 ,3.27 ,2.29 ,1.16 ,1.39 ,1.57 ,0.28 ,0.15 ,0.19 ,0.21 ,0.10 ,0.14 ,0.00 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.10 ,0.00 ,0.00 ,11.73 ,47.58 ,50.71 ,21.40 ,21.31 ,0.56 ,0.10 ,0.00 ,0.03 ,0.00 ,1.13 ,1.08 ,1.73 ,0.07 ,1.61 ,1.60 ,0.58 ,0.62 ,9.47 ,9.00 ,8.37 ,23.84 ,23.45 
Zm00001d043060,0.31 ,0.20 ,0.06 ,0.82 ,1.24 ,0.54 ,2.49 ,0.13 ,0.53 ,0.27 ,0.16 ,0.00 ,0.37 ,0.52 ,0.59 ,0.19 ,0.25 ,0.19 ,0.25 ,0.35 ,0.13 ,0.19 ,0.13 ,0.07 ,0.13 ,0.03 ,0.29 ,0.03 ,0.06 ,0.09 ,0.21 ,0.09 ,0.70 ,0.00 ,0.00 ,0.25 ,0.00 ,0.33 ,0.00 ,0.72 ,0.98 ,0.35 ,0.63 ,0.74 ,0.72 ,1.29 ,1.41 ,0.00 ,0.00 ,0.00 ,0.05 ,0.00 ,0.10 ,0.00 ,0.17 ,0.20 ,1.24 ,1.81 ,0.83 ,1.09 ,2.19 ,1.21 ,3.88 ,0.80 ,1.43 ,1.73 ,1.18 ,1.00 ,0.83 ,0.39 ,0.45 ,0.11 ,0.00 ,0.14 ,0.25 ,0.24 ,0.56 ,1.12 ,0.80 ,1.70 ,1.71 ,0.35 ,0.23 ,0.92 ,0.00 ,1.50 ,1.68 ,0.43 ,0.68 ,0.00 ,0.12 ,0.00 ,0.33 ,0.44 ,0.15 ,0.16 ,0.00 ,3.56 ,0.05 ,0.88 ,0.93 ,0.00 ,0.22 ,0.32 ,0.26 ,0.60 ,1.97 
Zm00001d020242,17.94 ,16.63 ,15.19 ,16.74 ,19.34 ,21.73 ,24.90 ,18.29 ,24.83 ,19.49 ,20.15 ,21.81 ,18.36 ,17.12 ,13.47 ,17.26 ,15.70 ,14.61 ,15.77 ,13.16 ,13.92 ,13.59 ,12.04 ,14.29 ,13.64 ,14.38 ,15.48 ,13.05 ,16.84 ,17.68 ,16.54 ,18.28 ,14.84 ,13.04 ,13.88 ,16.93 ,14.10 ,9.74 ,12.20 ,8.46 ,8.40 ,9.40 ,11.11 ,8.80 ,10.79 ,10.67 ,19.57 ,19.21 ,12.00 ,6.42 ,5.33 ,6.23 ,5.22 ,5.94 ,4.19 ,3.86 ,4.29 ,2.52 ,2.50 ,2.92 ,5.60 ,4.79 ,3.69 ,12.08 ,13.11 ,13.25 ,10.79 ,11.57 ,13.38 ,13.13 ,7.84 ,6.25 ,9.71 ,6.41 ,7.02 ,5.79 ,4.36 ,6.28 ,5.66 ,7.23 ,8.05 ,8.21 ,7.39 ,8.56 ,1.20 ,15.57 ,15.03 ,19.80 ,20.33 ,10.21 ,5.75 ,0.82 ,1.34 ,2.99 ,20.24 ,21.42 ,0.65 ,7.33 ,17.72 ,18.72 ,6.71 ,7.30 ,20.02 ,18.82 ,21.21 ,10.68 ,6.84 
Zm00001d009160,8.97 ,6.93 ,10.19 ,15.24 ,28.81 ,34.09 ,24.78 ,17.94 ,34.62 ,21.64 ,18.11 ,18.74 ,24.15 ,24.05 ,25.43 ,17.64 ,24.11 ,19.26 ,14.76 ,17.68 ,13.16 ,14.23 ,19.40 ,14.88 ,13.80 ,19.09 ,12.19 ,18.71 ,12.47 ,21.04 ,22.90 ,8.96 ,10.41 ,0.91 ,5.34 ,2.32 ,0.76 ,10.90 ,2.44 ,8.59 ,16.47 ,3.05 ,0.90 ,6.53 ,5.25 ,6.16 ,7.37 ,2.69 ,5.38 ,4.73 ,10.32 ,5.19 ,4.94 ,4.14 ,4.01 ,4.59 ,6.89 ,2.98 ,2.45 ,3.19 ,4.83 ,3.00 ,2.08 ,1.57 ,1.36 ,5.25 ,3.31 ,5.84 ,5.67 ,3.44 ,8.45 ,6.24 ,1.62 ,3.19 ,4.80 ,2.28 ,4.27 ,4.04 ,2.41 ,22.93 ,1.09 ,7.02 ,0.93 ,4.56 ,0.18 ,9.55 ,10.85 ,4.34 ,5.15 ,3.45 ,0.15 ,1.90 ,3.08 ,0.94 ,0.19 ,0.20 ,0.04 ,65.28 ,1.31 ,1.58 ,3.10 ,2.13 ,59.02 ,82.46 ,87.79 ,4.18 ,1.14 
Zm00001d036356,24.23 ,20.79 ,22.07 ,23.66 ,26.26 ,30.41 ,28.04 ,27.84 ,27.00 ,26.76 ,22.53 ,22.48 ,28.65 ,28.22 ,24.89 ,26.97 ,27.53 ,21.87 ,26.18 ,19.10 ,19.23 ,22.04 ,17.77 ,16.97 ,17.97 ,20.42 ,22.85 ,15.89 ,22.18 ,25.32 ,22.08 ,18.72 ,17.26 ,14.70 ,15.95 ,11.62 ,10.96 ,11.59 ,7.28 ,6.02 ,5.80 ,12.16 ,11.34 ,6.57 ,7.56 ,4.57 ,21.06 ,16.71 ,8.23 ,8.17 ,7.31 ,4.50 ,3.79 ,4.62 ,6.02 ,5.72 ,3.46 ,3.24 ,3.35 ,5.24 ,6.44 ,5.73 ,3.41 ,13.66 ,14.04 ,14.88 ,11.54 ,8.54 ,13.31 ,10.79 ,7.18 ,7.23 ,7.63 ,5.39 ,6.25 ,6.57 ,5.34 ,7.67 ,5.69 ,8.54 ,8.89 ,7.24 ,11.52 ,6.76 ,13.53 ,21.59 ,22.55 ,48.60 ,44.73 ,10.88 ,1.83 ,1.67 ,3.26 ,3.00 ,22.23 ,22.96 ,7.37 ,10.39 ,50.06 ,46.85 ,8.55 ,9.69 ,57.99 ,59.11 ,55.85 ,20.21 ,19.65 
Zm00001d039475,10.91 ,11.52 ,11.96 ,10.91 ,12.19 ,10.12 ,12.85 ,10.85 ,11.99 ,10.68 ,11.29 ,11.22 ,9.47 ,8.02 ,8.30 ,9.49 ,8.25 ,7.48 ,8.32 ,7.53 ,6.73 ,8.03 ,7.15 ,6.73 ,7.85 ,9.53 ,10.07 ,8.72 ,10.80 ,11.67 ,10.67 ,6.90 ,6.41 ,4.99 ,3.89 ,6.06 ,4.58 ,4.10 ,3.99 ,2.72 ,3.76 ,4.87 ,5.13 ,4.24 ,5.05 ,4.30 ,11.90 ,11.42 ,5.54 ,2.57 ,2.71 ,4.66 ,4.44 ,4.22 ,3.74 ,4.00 ,2.67 ,3.02 ,2.61 ,5.27 ,7.47 ,10.82 ,10.37 ,7.97 ,7.79 ,7.77 ,4.99 ,6.14 ,7.77 ,4.46 ,3.03 ,2.63 ,6.74 ,3.86 ,4.81 ,5.14 ,3.59 ,4.68 ,4.45 ,6.26 ,8.55 ,5.71 ,7.24 ,6.67 ,1.16 ,10.98 ,9.95 ,11.35 ,11.31 ,1.23 ,1.44 ,0.56 ,0.96 ,1.53 ,6.69 ,6.33 ,0.22 ,2.19 ,7.79 ,8.67 ,1.73 ,5.09 ,10.18 ,10.19 ,10.80 ,4.13 ,3.08 
Zm00001d042212,17.41 ,14.68 ,16.01 ,19.73 ,19.79 ,18.59 ,19.69 ,18.01 ,19.32 ,17.61 ,18.05 ,18.32 ,17.00 ,17.67 ,17.36 ,18.16 ,16.55 ,15.69 ,14.91 ,15.24 ,15.92 ,15.86 ,15.10 ,14.46 ,17.11 ,18.62 ,18.40 ,14.56 ,22.33 ,20.35 ,15.82 ,12.94 ,15.22 ,13.00 ,13.69 ,20.38 ,13.09 ,14.51 ,14.10 ,10.27 ,13.76 ,14.00 ,14.20 ,10.66 ,10.80 ,11.33 ,23.31 ,25.98 ,14.82 ,10.78 ,9.31 ,14.57 ,12.47 ,11.05 ,13.14 ,12.85 ,12.12 ,10.29 ,10.88 ,11.09 ,12.98 ,8.39 ,7.16 ,17.09 ,15.26 ,16.76 ,14.70 ,21.37 ,19.09 ,16.51 ,11.72 ,10.74 ,18.06 ,14.92 ,12.94 ,16.36 ,13.43 ,13.95 ,14.82 ,8.64 ,12.50 ,10.50 ,13.39 ,9.58 ,2.37 ,15.36 ,13.46 ,20.17 ,20.77 ,7.23 ,7.75 ,5.58 ,5.76 ,7.44 ,17.21 ,17.30 ,0.35 ,6.10 ,17.00 ,17.97 ,7.94 ,7.17 ,16.38 ,16.14 ,16.39 ,9.07 ,7.89 
Zm00001d014863,12.36 ,2.28 ,1.04 ,3.30 ,11.94 ,12.08 ,12.39 ,9.57 ,5.99 ,4.64 ,4.40 ,9.33 ,9.98 ,8.05 ,7.77 ,6.39 ,5.82 ,6.19 ,9.97 ,3.70 ,2.50 ,6.12 ,11.72 ,1.98 ,2.81 ,5.61 ,4.30 ,1.63 ,1.41 ,3.76 ,7.72 ,6.66 ,8.83 ,8.23 ,6.17 ,2.94 ,4.01 ,4.05 ,3.57 ,4.25 ,4.01 ,2.47 ,0.54 ,0.27 ,4.14 ,0.48 ,1.57 ,2.65 ,2.24 ,3.58 ,6.04 ,3.75 ,3.43 ,2.70 ,4.13 ,5.98 ,5.04 ,4.73 ,1.88 ,0.55 ,1.66 ,1.22 ,0.41 ,10.29 ,4.35 ,6.15 ,2.26 ,1.88 ,1.83 ,1.60 ,4.30 ,4.01 ,3.30 ,2.30 ,2.43 ,3.91 ,5.35 ,3.73 ,4.03 ,1.60 ,0.76 ,1.12 ,3.11 ,1.32 ,42.11 ,6.69 ,8.83 ,1.04 ,0.57 ,12.42 ,18.78 ,16.39 ,18.19 ,31.56 ,0.40 ,0.37 ,26.32 ,1.73 ,0.29 ,0.14 ,4.52 ,1.10 ,5.89 ,6.40 ,5.31 ,6.10 ,13.91 
Zm00001d022628,2.42 ,2.66 ,2.04 ,2.08 ,2.61 ,3.81 ,3.08 ,3.21 ,3.88 ,2.90 ,2.60 ,2.20 ,2.37 ,1.67 ,2.15 ,2.60 ,1.29 ,1.32 ,1.78 ,1.70 ,1.62 ,1.97 ,0.97 ,1.85 ,2.33 ,1.44 ,1.64 ,1.96 ,2.05 ,2.16 ,1.99 ,6.39 ,4.72 ,5.61 ,4.29 ,2.48 ,3.65 ,3.83 ,2.70 ,4.12 ,4.31 ,1.97 ,2.48 ,4.61 ,2.79 ,2.95 ,2.03 ,1.71 ,1.84 ,1.09 ,0.98 ,2.27 ,2.67 ,2.50 ,1.95 ,0.88 ,1.36 ,0.67 ,0.48 ,0.61 ,0.92 ,1.34 ,2.12 ,2.96 ,4.14 ,3.98 ,2.53 ,2.11 ,2.11 ,3.47 ,3.32 ,2.31 ,1.91 ,2.40 ,1.91 ,1.51 ,0.95 ,0.76 ,1.07 ,2.99 ,1.75 ,3.37 ,2.06 ,2.20 ,2.82 ,10.00 ,7.92 ,3.80 ,4.13 ,29.41 ,31.88 ,6.29 ,8.46 ,7.20 ,7.77 ,7.11 ,1.01 ,39.32 ,8.85 ,5.74 ,24.64 ,24.49 ,4.38 ,4.90 ,5.51 ,6.62 ,4.28 
Zm00001d039306,27.20 ,18.69 ,13.09 ,22.21 ,22.95 ,26.62 ,33.12 ,24.73 ,31.90 ,29.14 ,24.79 ,21.61 ,20.94 ,18.06 ,16.28 ,24.04 ,14.40 ,11.57 ,21.95 ,14.28 ,9.19 ,9.95 ,8.51 ,8.73 ,10.46 ,16.83 ,17.37 ,11.67 ,21.46 ,21.11 ,22.42 ,41.92 ,22.04 ,28.42 ,17.98 ,17.90 ,12.62 ,6.54 ,5.77 ,1.20 ,1.61 ,1.07 ,0.68 ,0.44 ,0.48 ,0.15 ,22.29 ,20.04 ,3.06 ,1.56 ,1.02 ,2.03 ,1.73 ,1.46 ,1.11 ,1.30 ,0.98 ,0.28 ,0.73 ,0.25 ,0.16 ,0.19 ,0.73 ,16.13 ,18.26 ,14.55 ,4.87 ,5.80 ,9.31 ,3.82 ,2.67 ,2.93 ,3.85 ,2.61 ,3.18 ,1.63 ,1.45 ,1.86 ,0.67 ,0.37 ,0.36 ,0.32 ,0.34 ,0.72 ,2.05 ,39.93 ,36.96 ,38.13 ,39.42 ,6.44 ,0.67 ,0.09 ,0.07 ,0.08 ,18.31 ,18.91 ,0.22 ,4.15 ,33.53 ,39.58 ,6.64 ,0.18 ,37.35 ,37.57 ,40.78 ,0.98 ,1.73 
Zm00001d037836,26.07 ,20.59 ,19.04 ,22.57 ,23.47 ,25.94 ,29.70 ,24.89 ,31.38 ,31.82 ,28.34 ,22.61 ,20.35 ,20.50 ,19.65 ,22.99 ,17.23 ,14.83 ,18.05 ,14.49 ,12.65 ,13.80 ,13.48 ,12.03 ,16.69 ,23.67 ,24.98 ,20.05 ,30.45 ,30.43 ,32.37 ,19.55 ,10.75 ,22.20 ,14.92 ,16.50 ,12.51 ,10.13 ,10.66 ,5.26 ,6.28 ,8.00 ,8.70 ,6.71 ,3.56 ,4.64 ,27.37 ,25.20 ,14.29 ,10.59 ,8.80 ,10.60 ,9.72 ,11.96 ,10.11 ,10.53 ,7.43 ,6.75 ,8.80 ,4.31 ,3.95 ,3.41 ,2.16 ,12.14 ,12.16 ,10.89 ,7.70 ,9.38 ,12.47 ,10.17 ,9.79 ,8.50 ,12.22 ,10.09 ,10.32 ,11.55 ,8.59 ,10.96 ,6.32 ,3.78 ,6.74 ,6.25 ,5.28 ,4.28 ,3.95 ,36.92 ,42.06 ,27.58 ,28.20 ,16.09 ,8.98 ,5.53 ,3.29 ,4.40 ,27.46 ,25.02 ,1.73 ,16.80 ,32.25 ,32.81 ,19.76 ,11.82 ,23.69 ,24.26 ,25.99 ,15.55 ,9.75 
